FlockID,WEEKNO,Fowl.Pox.vaccinated,HPAI.vaccinated,NDV.vaccinated,IBV.vaccinated,IBD.vaccinated,PM.vaccinated,CODE
75-0011,1,0,0,0,0,1,0,VA002
75-0011,1,0,0,1,0,0,0,VA001
75-0011,2,1,0,0,0,0,0,VA003
75-0011,3,0,0,1,0,0,0,VA001
75-0011,3,0,1,0,0,0,0,VA004
75-0011,4,0,0,0,0,1,0,VA002
75-0011,5,0,0,0,0,0,1,VA005
75-0011,6,0,1,0,0,0,0,VA004
75-0011,7,0,0,0,0,0,0,NA
75-0011,8,0,0,0,0,0,0,NA
75-0011,9,0,0,0,0,0,0,NA
75-0011,10,0,0,0,0,0,0,NA
75-0011,11,0,0,0,0,0,0,NA
75-0011,12,0,0,0,0,0,0,NA
75-0011,13,0,0,0,0,0,0,NA
75-0011,14,0,0,0,0,0,0,NA
75-0011,15,0,0,0,0,0,0,NA
75-0011,16,0,0,0,0,0,0,NA
75-0011,17,0,0,0,0,0,0,NA
75-0011,18,0,0,0,0,0,0,NA
75-0012,1,0,0,1,0,0,0,VA001
75-0012,1,0,0,0,0,1,0,VA002
75-0012,2,1,0,0,0,0,0,VA003
75-0012,2,0,0,0,0,1,0,VA002
75-0012,3,0,1,0,0,0,0,VA004
75-0012,3,0,0,1,0,0,0,VA001
75-0012,4,0,0,1,0,0,0,VA001
75-0012,5,0,0,0,0,0,0,NA
75-0012,6,0,0,0,0,0,0,NA
75-0012,7,0,1,0,0,0,0,VA004
75-0012,8,0,0,0,0,0,1,VA005
75-0012,9,0,0,0,0,0,0,NA
75-0012,10,0,0,0,0,0,0,NA
75-0012,11,0,0,0,0,0,0,NA
75-0012,12,0,0,0,0,0,0,NA
75-0012,13,0,0,0,0,0,0,NA
75-0012,14,0,0,0,0,0,0,NA
75-0012,15,0,0,0,0,0,0,NA
75-0012,16,0,0,0,0,0,0,NA
75-0012,17,0,0,0,0,0,0,NA
75-0013,1,0,0,1,0,0,0,VA001
